S12_001,S12_037,pref
あいの里公園,0,1
あいの里教育大,7564,1
さっぽろ,184516,1
すすきの,39576,1
ひばりが丘,10244,1
サッポロビール庭園,0,1
トマム,0,1
バスセンター前,19690,1
七重浜,240,1
上ノ国,0,1
上富良野,678,1
上磯,160,1
上野幌,5678,1
下徳富,0,1
中の島,12054,1
中央図書館前,0,1
中富良野,0,1
中小屋,0,1
中島公園,19942,1
中島公園通,1541,1
中須田,0,1
久根別,120,1
二十四軒,12906,1
五稜郭,0,1
元町,18870,1
八軒,4876,1
円山公園,31058,1
北広島,15476,1
北海道医療大学,0,1
北美瑛,0,1
十三里,0,1
千歳,18174,1
南下徳富,0,1
南千歳,3054,1
南平岸,15812,1
南清水沢,0,1
占冠,22,1
吉堀,0,1
吉岡海底,0,1
夕張,0,1
大谷地,27994,1
大通,161756,1
太平,0,1
学園前,20594,1
学田,0,1
宮の沢,29342,1
宮越,0,1
富良野,1252,1
島松,3940,1
川端,0,1
幌南小学校前,1567,1
幌平橋,10278,1
平和,5538,1
平岸,16852,1
恵み野,6730,1
恵庭,14642,1
拓北,5142,1
新さっぽろ,42178,1
新十津川,0,1
新千歳空港,35518,1
新夕張,178,1
新川,6490,1
新得,486,1
新札幌,29348,1
新琴似,8200,1
新道東,16046,1
於札内,0,1
旭川,0,1
晩生内,0,1
月寒中央,18670,1
木古内,120,1
本中小屋,0,1
札比内,0,1
札的,0,1
札苅,10,1
東久根別,120,1
東区役所前,17758,1
東屯田通,1982,1
東本願寺前,888,1
東札幌,21778,1
東追分,0,1
栄町,16644,1
桂岡,0,1
桑園,0,1
植苗,0,1
江差,0,1
沼ノ沢,0,1
沼ノ端,0,1
泉沢,10,1
浦臼,0,1
清川口,170,1
清水沢,0,1
渡島当別,50,1
渡島鶴岡,0,1
湯ノ岱,0,1
滝ノ上,0,1
澄川,20128,1
琴似,28758,1
環状通東,18052,1
発寒南,17972,1
白石,28580,1
百合が原,0,1
真駒内,26174,1
知内,0,1
知来乙,0,1
石山通,1091,1
石狩太美,0,1
石狩当別,4826,1
石狩月形,92,1
石狩金沢,0,1
神明,0,1
神楽岡,0,1
福住,32252,1
篠路,6306,1
緑が丘,0,1
美々,0,1
美園,10222,1
美瑛,982,1
美馬牛,0,1
自衛隊前,6792,1
茂辺地,30,1
菊水,22460,1
行啓通,1437,1
西中,0,1
西御料,0,1
西瑞穂,0,1
西神楽,0,1
西聖和,0,1
豊平公園,11448,1
豊水すすきの,16732,1
資生館小学校前,687,1
追分,0,1
釜谷,10,1
長都,0,1
静修学園前,1463,1
鶴沼,0,1
鹿ノ谷,0,1
鹿討,0,1
麻生,41356,1
ウェスパ椿山,0,2
プレイピア白浜,0,2
三厩,50,2
三戸,458,2
三沢,2594,2
上北町,554,2
下北,386,2
下田,480,2
中央弘前,349,2
